trial,group,n_subjects,spp1,spp2,conspp_mod,heterospp_trait,condition,im1,im2,trial_order,pattern,icc,familiarity_im1,familiarity_im2
1,mona1,4,mona,ascanius,no,not_shared,not_shared,mona_M1,ascanius_M1,1,dots,2015_11_01_easy,not_present,not_present
2,mona2,4,ascanius,mona,yes,shared,modified,diana_F2,mona_F3_mod,1,mixed,mixed,not_present,not_present
3,mona3,4,mona,diana,no,shared,shared,mona_F3,diana_F2,1,dots,2015_11_01_easy,not_present,not_present
4,mona4,5,diana,mona,no,shared,shared,diana_M2,mona_M3,1,dots,2015_11_01_easy,not_present,not_present
5,mona1,4,diana,mona,no,shared,shared,diana_M1,mona_M2,2,diamonds,2015_11_09_easy,not_present,not_present
6,mona2,4,ascanius,mona,no,not_shared,not_shared,ascanius_F1,mona_F1,2,diamonds,2015_11_09_easy,not_present,not_present
7,mona3,4,mona,diana,yes,shared,modified,mona_F2_mod,diana_F1,2,diamonds,2015_11_09_easy,not_present,not_present
8,mona4,5,mona,ascanius,no,not_shared,not_shared,mona_M1,ascanius_M2,2,diamonds,2015_11_09_easy,not_present,not_present
9,mona1,4,mona,diana,yes,shared,modified,mona_M3_mod,diana_M2,3,stripes2,2015_11_17_easy,not_present,not_present
10,mona2,4,mona,diana,no,shared,shared,mona_F2,diana_F1,3,stripes2,2015_11_17_easy,not_present,not_present
11,mona3,4,ascanius,mona,no,not_shared,not_shared,ascanius_F2,mona_F1,3,stripes2,2015_11_17_easy,not_present,not_present
12,mona4,5,diana,mona,yes,shared,modified,diana_M1,mona_M2_mod,3,stripes2,2015_11_17_easy,not_present,not_present
1,nictitans1,5,nictitans,ascanius,no,shared,shared,nictitans_M1,ascanius_M1,1,stripes,2015_10_25_easy,not_visible,not_present
2,nictitans3,6,nictitans,wolfi,no,not_shared,not_shared,nictitans_F5,wolfi_F2,1,mixed,2015_10_25_easy,not_visible,not_present
3,nictitans2,6,ascanius,nictitans,yes,shared,modified,ascanius_F2,nictitans_F3,1,stripes,2015_10_25_easy,not_present,not_visible
4,nictitans4,6,wolfi,nictitans,no,not_shared,not_shared,wolfi_M2,nictitans_M5,1,mixed,mixed,not_present,not_visible
5,nictitans1,5,wolfi,nictitans,no,not_shared,not_shared,wolfi_M1,nictitans_M2,2,dots,2015_11_01_easy,not_present,visible
6,nictitans3,6,nictitans,ascanius,yes,shared,modified,nictitans_F6,ascanius_F1,2,mixed,2015_11_09_easy,not_visible,not_present
7,nictitans2,6,ascanius,nictitans,no,shared,shared,ascanius_F1,nictitans_F1,2,dots,2015_11_01_easy,not_present,visible
8,nictitans4,6,nictitans,ascanius,no,shared,shared,nictitans_M4,ascanius_M2,2,mixed,2015_11_09_easy,not_visible,not_present
9,nictitans1,5,nictitans,ascanius,yes,shared,modified,nictitans_M3,ascanius_M2,3,diamonds,2015_11_09_easy,not_visible,not_present
10,nictitans3,6,ascanius,nictitans,no,shared,shared,ascanius_F2,nictitans_F4,3,diamonds,2015_11_17_easy,not_present,not_visible
11,nictitans2,6,nictitans,wolfi,no,not_shared,not_shared,nictitans_F2,wolfi_F1,3,diamonds,2015_11_09_easy,visible,not_present
12,nictitans4,6,ascanius,nictitans,yes,shared,modified,ascanius_M1,nictitans_M6,3,diamonds,2015_11_17_easy,not_present,not_visible
